@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@data
ar,ANY,ANY,2,1,0,2,ad,ANY
ar,g,ANY,2,0,0,2,ga,ANY
ar,g,ANY,2,1,0,2,gad,ANY
ar,i,ANY,2,0,0,2,ia,ANY
ar,i,ANY,2,1,0,2,iad,ANY
ar,u,ANY,2,0,0,2,ua,ANY
ar,u,ANY,2,1,0,2,uad,ANY
ar,ANY,ANY,0,0,0,3,ar,ANY
ar,g,ANY,0,0,0,3,gar,ANY
ar,i,ANY,0,0,0,3,iar,ANY
ar,u,ANY,0,0,0,3,uar,ANY
ar,ANY,ANY,0,0,1,3,ado,ANY
ar,g,ANY,0,0,1,3,gado,ANY
ar,i,ANY,0,0,1,3,iado,ANY
ar,u,ANY,0,0,1,3,uado,ANY
ar,ANY,ANY,0,0,2,3,ando,ANY
ar,g,ANY,0,0,2,3,gando,ANY
ar,i,ANY,0,0,2,3,iando,ANY
ar,u,ANY,0,0,2,3,uando,ANY
ar,ANY,ANY,1,0,0,1,e,ANY
ar,ANY,ANY,2,0,0,1,es,ANY
ar,ANY,ANY,3,0,0,1,e,ANY
ar,ANY,ANY,1,1,0,1,emos,ANY
ar,ANY,ANY,2,1,0,1,éis,ANY
ar,ANY,ANY,3,1,0,1,en,ANY
ar,g,ANY,1,0,0,1,gue,ANY
ar,g,ANY,2,0,0,1,gues,ANY
ar,g,ANY,3,0,0,1,gue,ANY
ar,g,ANY,1,1,0,1,guemos,ANY
ar,g,ANY,2,1,0,1,guéis,ANY
ar,g,ANY,3,1,0,1,guen,ANY
ar,i,ANY,1,0,0,1,ie,íe
ar,i,ANY,2,0,0,1,ies,íes
ar,i,ANY,3,0,0,1,ie,íe
ar,i,ANY,1,1,0,1,iemos,ANY
ar,i,ANY,2,1,0,1,iéis,ANY
ar,i,ANY,3,1,0,1,ien,íen
ar,u,ANY,1,0,0,1,ue,úe
ar,u,ANY,2,0,0,1,ues,úes
ar,u,ANY,3,0,0,1,ue,úe
ar,u,ANY,1,1,0,1,uemos,ANY
ar,u,ANY,2,1,0,1,uéis,ANY
ar,u,ANY,3,1,0,1,uen,úen
ar,ANY,ANY,1,0,1,1,ara,ase
ar,ANY,ANY,2,0,1,1,aras,ases
ar,ANY,ANY,3,0,1,1,ara,ase
ar,ANY,ANY,1,1,1,1,áramos,ásemos
ar,ANY,ANY,2,1,1,1,arais,aseis
ar,ANY,ANY,3,1,1,1,aran,asen
ar,g,ANY,1,0,1,1,gara,gase
ar,g,ANY,2,0,1,1,garas,gases
ar,g,ANY,3,0,1,1,gara,gase
ar,g,ANY,1,1,1,1,gáramos,gásemos
ar,g,ANY,2,1,1,1,garais,gaseis
ar,g,ANY,3,1,1,1,garan,gasen
ar,i,ANY,1,0,1,1,iara,iase
ar,i,ANY,2,0,1,1,iaras,iases
