@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@data
er,ca,ANY,2,0,3,0,caiste,ANY
er,ca,ANY,3,0,3,0,cayó,ANY
er,ca,ANY,1,1,3,0,caimos,ANY
er,ca,ANY,2,1,3,0,caisteis,ANY
er,ca,ANY,3,1,3,0,cayeron,ANY
er,e,ANY,1,0,3,0,eí,ANY
er,e,ANY,2,0,3,0,eíste,ANY
er,e,ANY,3,0,3,0,eyó,ANY
er,e,ANY,1,1,3,0,eimos,ANY
er,e,ANY,2,1,3,0,eísteis,ANY
er,e,ANY,3,1,3,0,eyeron,ANY
er,ñ,ANY,1,0,3,0,ñí,ANY
er,ñ,ANY,2,0,3,0,ñiste,ANY
er,ñ,ANY,3,0,3,0,ñó,ANY
er,ñ,ANY,1,1,3,0,ñimos,ANY
er,ñ,ANY,2,1,3,0,ñisteis,ANY
er,ñ,ANY,3,1,3,0,ñeron,ANY
er,v,ANY,1,0,3,0,ví,ANY
er,v,ANY,2,0,3,0,viste,ANY
er,v,ANY,3,0,3,0,vió,ANY
er,v,ANY,1,1,3,0,vimos,ANY
er,v,ANY,2,1,3,0,visteis,ANY
er,v,ANY,3,1,3,0,vieron,ANY
er,ca,ANY,1,0,2,0,caeré,ANY
er,ca,ANY,2,0,2,0,caerás,ANY
er,ca,ANY,3,0,2,0,caerá,ANY
er,ca,ANY,1,1,2,0,caeremos,ANY
er,ca,ANY,2,1,2,0,caeréis,ANY
er,ca,ANY,3,1,2,0,caerán,ANY
er,e,ANY,1,0,2,0,eeré,ANY
er,e,ANY,2,0,2,0,eerás,ANY
er,e,ANY,3,0,2,0,eerá,ANY
er,e,ANY,1,1,2,0,eeremos,ANY
er,e,ANY,2,1,2,0,eeréis,ANY
er,e,ANY,3,1,2,0,eerán,ANY
er,ñ,ANY,1,0,2,0,ñeré,ANY
er,ñ,ANY,2,0,2,0,ñerás,ANY
er,ñ,ANY,3,0,2,0,ñerá,ANY
er,ñ,ANY,1,1,2,0,ñeremos,ANY
er,ñ,ANY,2,1,2,0,ñeréis,ANY
er,ñ,ANY,3,1,2,0,ñerán,ANY
er,v,ANY,1,0,2,0,veré,ANY
er,v,ANY,2,0,2,0,verás,ANY
er,v,ANY,3,0,2,0,verá,ANY
er,v,ANY,1,1,2,0,veremos,ANY
er,v,ANY,2,1,2,0,veréis,ANY
er,v,ANY,3,1,2,0,verán,ANY
er,ca,ANY,1,0,4,0,caería,ANY
er,ca,ANY,2,0,4,0,caerías,ANY
er,ca,ANY,3,0,4,0,caería,ANY
er,ca,ANY,1,1,4,0,caeríamos,ANY
er,ca,ANY,2,1,4,0,caeríais,ANY
er,ca,ANY,3,1,4,0,caerían,ANY
er,e,ANY,1,0,4,0,eería,ANY
er,e,ANY,2,0,4,0,eerías,ANY
er,e,ANY,3,0,4,0,eería,ANY
er,e,ANY,1,1,4,0,eeríamos,ANY
er,e,ANY,2,1,4,0,eeríais,ANY
er,e,ANY,3,1,4,0,eerían,ANY
er,ñ,ANY,1,0,4,0,ñería,ANY
er,ñ,ANY,2,0,4,0,ñerías,ANY
er,ñ,ANY,3,0,4,0,ñería,ANY
er,ñ,ANY,1,1,4,0,ñeríamos,ANY
er,ñ,ANY,2,1,4,0,ñeríais,ANY
er,ñ,ANY,3,1,4,0,ñerían,ANY
er,v,ANY,1,0,4,0,vería,ANY
er,v,ANY,2,0,4,0,verías,ANY
er,v,ANY,3,0,4,0,vería,ANY
er,v,ANY,1,1,4,0,veríamos,ANY
er,v,ANY,2,1,4,0,veríais,ANY
er,v,ANY,3,1,4,0,verían,ANY
er,ca,ANY,2,0,0,2,cae,ANY
er,ca,ANY,2,1,0,2,caed,ANY
er,e,ANY,2,0,0,2,ee,ANY
er,ñ,ANY,2,0,0,2,ñe,ANY
er,ñ,ANY,2,1,0,2,ñed,ANY
er,v,ANY,2,0,0,2,ve,ANY
er,v,ANY,2,1,0,2,ved,ANY
er,ca,ANY,0,0,0,3,caer,ANY
er,e,ANY,0,0,0,3,eer,ANY
er,ñ,ANY,0,0,0,3,ñer,ANY
er,v,ANY,0,0,0,3,ver,ANY
er,ca,ANY,0,0,1,3,caído,ANY
er,e,ANY,0,0,1,3,eído,ANY
er,ñ,ANY,0,0,1,3,ñido,ANY
er,v,ANY,0,0,1,3,visto,ANY
er,ca,ANY,0,0,2,3,cayendo,ANY
er,e,ANY,0,0,2,3,eyendo,ANY
er,ñ,ANY,0,0,2,3,ñendo,ANY
er,v,ANY,0,0,2,3,viendo,ANY
er,ca,ANY,1,0,0,1,caiga,ANY
er,ca,ANY,2,0,0,1,caigas,ANY
er,ca,ANY,3,0,0,1,caiga,ANY
er,ca,ANY,1,1,0,1,caigamos,ANY
er,ca,ANY,2,1,0,1,caigáis,ANY
er,ca,ANY,3,1,0,1,caigan,ANY
er,e,ANY,1,0,0,1,ea,ANY
er,e,ANY,2,0,0,1,eas,ANY
er,e,ANY,3,0,0,1,ea,ANY
er,e,ANY,1,1,0,1,eamos,ANY
er,e,ANY,2,1,0,1,eáis,ANY
er,e,ANY,3,1,0,1,ean,ANY
er,ñ,ANY,1,0,0,1,ña,ANY
er,ñ,ANY,2,0,0,1,ñas,ANY
er,ñ,ANY,3,0,0,1,ña,ANY
er,ñ,ANY,1,1,0,1,ñamos,ANY
er,ñ,ANY,2,1,0,1,ñáis,ANY
er,ñ,ANY,3,1,0,1,ñan,ANY
er,v,ANY,1,0,0,1,vea,ANY
er,v,ANY,2,0,0,1,veas,ANY
er,v,ANY,3,0,0,1,vea,ANY
er,v,ANY,1,1,0,1,veamos,ANY
er,v,ANY,2,1,0,1,veáis,ANY
er,v,ANY,3,1,0,1,vean,ANY
er,ca,ANY,1,0,1,1,cayera,cayese
er,ca,ANY,2,0,1,1,cayeras,cayeses
er,ca,ANY,3,0,1,1,cayera,cayese
er,ca,ANY,1,1,1,1,cayéramos,cayésemos
er,ca,ANY,2,1,1,1,cayerais,cayeseis
er,ca,ANY,3,1,1,1,cayeran,cayesen
er,e,ANY,1,0,1,1,eyera,eyese
er,e,ANY,2,0,1,1,eyeras,eyeses
er,e,ANY,3,0,1,1,eyera,eyese
er,e,ANY,1,1,1,1,eyéramos,eyésemos
er,e,ANY,2,1,1,1,eyerais,eyeseis
er,e,ANY,3,1,1,1,eyeran,eyesen
er,ñ,ANY,1,0,1,1,ñera,ñese
er,ñ,ANY,2,0,1,1,ñeras,ñeses
er,ñ,ANY,3,0,1,1,ñera,ñese
er,ñ,ANY,1,1,1,1,ñéramos,ñésemos
er,ñ,ANY,2,1,1,1,ñerais,ñeseis
er,ñ,ANY,3,1,1,1,ñeran,ñesen
er,v,ANY,1,0,1,1,viera,viese
er,v,ANY,2,0,1,1,vieras,vieses
er,v,ANY,3,0,1,1,viera,viese
er,v,ANY,1,1,1,1,viéramos,viésemos
er,v,ANY,2,1,1,1,vierais,vieseis
er,v,ANY,3,1,1,1,vieran,viesen
er,ca,ANY,1,0,2,1,cayere,ANY
er,ca,ANY,2,0,2,1,cayeres,ANY
er,ca,ANY,3,0,2,1,cayere,ANY
er,ca,ANY,1,1,2,1,cayéremos,ANY
er,ca,ANY,2,1,2,1,cayereis,ANY
er,ca,ANY,3,1,2,1,cayeren,ANY
er,e,ANY,1,0,2,1,eyere,ANY
er,e,ANY,2,0,2,1,eyeres,ANY
er,e,ANY,3,0,2,1,eyere,ANY
er,e,ANY,1,1,2,1,eyéremos,ANY
er,e,ANY,2,1,2,1,eyereis,ANY
er,e,ANY,3,1,2,1,eyeren,ANY
er,ñ,ANY,1,0,2,1,ñere,ANY
er,ñ,ANY,2,0,2,1,ñeres,ANY
er,ñ,ANY,3,0,2,1,ñere,ANY
er,ñ,ANY,1,1,2,1,ñéremos,ANY
er,ñ,ANY,2,1,2,1,ñereis,ANY
er,ñ,ANY,3,1,2,1,ñeren,ANY
er,v,ANY,1,0,2,1,viere,ANY
er,v,ANY,2,0,2,1,vieres,ANY
er,v,ANY,3,0,2,1,viere,ANY
er,v,ANY,1,1,2,1,viéremos,ANY
er,v,ANY,2,1,2,1,viereis,ANY
er,v,ANY,3,1,2,1,vieren,ANY
